animal;id;experience;test;path
fish;2;26;2;НОИКА+ДССДА-ККА-ДСЕИИИМКГ+КЛЖТ
fish;2;26;3;НОИИИКА+ДССДШХЦЩГ+КЛЖТ
fish;2;26;4;НОФХША+ШХЦЩГ+КЛЖТ
fish;2;26;5;ПОМЛЖТТСЗКЛЖТ
fish;2;26;6;НОМКЗСТ
fish;2;26;7;НОМККЛВЛККЛЖТ
fish;2;26;8;НОМКЗСТ
fish;2;27;1;ПОФХША+ШХЦЩГ+Г-Г-ЗСТ
fish;2;27;2;ПОИКШХЦЩГ+ЩЦХША+ШХЦЩКЛЖТ
fish;2;27;3;НОИКДССДА+ДССДА-ШХЦЩЗСТ
fish;2;27;4;ПОФХШШХЦКККЛВЛКЩЦХША+ШХЦЦХШДСР
fish;2;27;5;НОМКЗСССССТ
fish;2;27;6;НОМКЗСТ
fish;2;27;7;НОИКА+ШХЦЩЗСТ
fish;2;27;8;ПОИКДСР
fish;2;27;9;ПОИКА+ШХФФЦЩКЛМООИЛБЛКДССДА-ДСР
fish;2;27;10;НОМЛЖТТСЗГ+ЗССЗГ-ЗСТ
fish;4;5;1; НОММООФЩЩКЛБЛМООФЦЩККГ+КОЖССТТСССССЗЩЦЦЩЦФООИИИЛЛККЛЕССР
fish;4;5;2;НОФФИМЛЖССЖЛЛЛКЩЦФООФЦЩКЛЖССЖЛЛЛММЛЖССТ
fish;4;5;3;НОИКА+ШХЦЩКЛЛКЩЦХША-ШХЦЩЗСЖЛМИИИКШХХШДССДШХЦЗССЗЦХША+ШХХШКЛЛКШХХШДССДШХХШККДСР
fish;4;6;1;ПУОООООМЛЖСТ
fish;4;6;2;ПОФФФЦЩКЛЖТ
fish;4;6;3;НОФЦЗЗКЛЛКГ-ЩЗСССССЖЛКЗССЗЩЦХХЦЩЦХША+ШХХША-ККШХХШШХЦЩКЛЖСЗКЛЛКЗЗЩЦЦЩЗСЖЛЛЖСЗЩЦЦЦХШДССССДА-ШХХШДДШХЦГ-СТ
fish;4;6;4;НОФХША+ШХЦЩЗСЖЖТ
fish;4;6;5;НОООИИФЦЦЦЩЗСЖЛКЩЦХХЦЗСССЖЛКГ+ЗЗЩЦФФХХФИИИЛЕСДККА-ШХХШДСЕЛКШХЦЩЗЗЩЦЦЗССЗЩЦЦЗЗЦЦЦХША-ККДССДШХХШДСССССР
fish;4;7;1;НОФХША+ШХЦЩККЗССЗГ+ЩЦХХФООИЛКДССДА-ШХЦЩКЛМФЦЩЗССЗККЩЦЦЦХШДССДШХХШДССДШХЦЗСЖЛММЛЛМФХШКЛЕСССДШШДСР
fish;4;7;2;ПОИЛЕСДА+ККШХХШШХЦЩКЛЛМООИЛЕББЛЛЕР
fish;4;8;1;НОФЦЩКЛЖСЗЩЦФФЦЦХША+ШХХШККДСЕББЛЛБЛКШХФФХША-ДССДШХХШДСР
fish;4;8;2;ПОМЛЛМИЛЕСДШХЦЩЗСТ
fish;4;8;3;НОМЛВЛКЗСТ
fish;4;8;4;ПОФФООФХША+ШХХШДДШХХШКККЛЛКДСР
fish;4;8;5;ПОООИКА+КЛЛИИККЛЕСДШХЦЩГ+КЛЛКЩЦФФЦЩГ-ЗСТ
fish;4;8;6;ПОФХХЦЩГ+КЛЛКЩЦХША+КИИКА-А-А-А-ШХХША-ДСЕЛИИИИИИКА-ШХЦЩГ-ККГ-ЗССЗГ-ЗЗГ-ЩЦХХЦЩГ-ЗСТ
fish;4;9;1;НОФФООИЛБЕСДА+ККА-ДССДККА-ДСР
fish;4;9;2;НОФХША+ШХХХХШДСЕЛКА-ДССДА-А-ККА-ДСЕЛКА-ДССДА-А-ДСЕЛКА-ДССДА-А-ШХЦЩГ-ЗССЗЩЦХША-ШХЦЩЗССЗЩЗСЖЛКГ+ККЗЗЩЦХША-ШХЦЩГ-ЗСТТЖЛКГ-ЩЦХХЦЗСТ
